Raw Data 		Experiment - evIC50_3_plate1_11APRIL2026 (Run on LCS480 1.5.1.62)																							
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510																		
B12	Sample 24	2	1	15	102970	36.96	1.27																		
C1	Sample 25	2	1	1	32930	36.91	1.1																		
C1	Sample 25	2	1	2	37970	36.96	1.09																		
C1	Sample 25	2	1	3	42980	36.96	1.09																		
C1	Sample 25	2	1	4	47980	37	1.09																		
C1	Sample 25	2	1	5	52970	37	1.09																		
C1	Sample 25	2	1	6	57960	37	1.08																		
C1	Sample 25	2	1	7	62970	36.96	1.08																		
C1	Sample 25	2	1	8	67980	36.96	1.09																		
C1	Sample 25	2	1	9	72970	37	1.09																		
C1	Sample 25	2	1	10	77970	37	1.08																		
C1	Sample 25	2	1	11	82970	37	1.09																		
C1	Sample 25	2	1	12	87960	36.96	1.08																		
C1	Sample 25	2	1	13	92970	37	1.09																		
C1	Sample 25	2	1	14	97970	36.96	1.08																		
C1	Sample 25	2	1	15	102970	36.96	1.08																		
C2	Sample 26	2	1	1	32930	36.91	1.17																		
C2	Sample 26	2	1	2	37970	36.96	1.17																		
C2	Sample 26	2	1	3	42980	36.96	1.16																		
C2	Sample 26	2	1	4	47980	37	1.16																		
C2	Sample 26	2	1	5	52970	37	1.16																		
C2	Sample 26	2	1	6	57960	37	1.16																		
C2	Sample 26	2	1	7	62970	36.96	1.16																		
C2	Sample 26	2	1	8	67980	36.96	1.16																		
C2	Sample 26	2	1	9	72970	37	1.16																		
C2	Sample 26	2	1	10	77970	37	1.16																		
C2	Sample 26	2	1	11	82970	37	1.17																		
C2	Sample 26	2	1	12	87960	36.96	1.16																		
C2	Sample 26	2	1	13	92970	37	1.16																		
C2	Sample 26	2	1	14	97970	36.96	1.16																		
C2	Sample 26	2	1	15	102970	36.96	1.15																		
C3	Sample 27	2	1	1	32930	36.91	1.28																		
C3	Sample 27	2	1	2	37970	36.96	1.27																		
C3	Sample 27	2	1	3	42980	36.96	1.27																		
C3	Sample 27	2	1	4	47980	37	1.27																		
C3	Sample 27	2	1	5	52970	37	1.27																		
C3	Sample 27	2	1	6	57960	37	1.27																		
C3	Sample 27	2	1	7	62970	36.96	1.27																		
C3	Sample 27	2	1	8	67980	36.96	1.27																		
C3	Sample 27	2	1	9	72970	37	1.27																		
C3	Sample 27	2	1	10	77970	37	1.26																		
C3	Sample 27	2	1	11	82970	37	1.27																		
C3	Sample 27	2	1	12	87960	36.96	1.27																		
C3	Sample 27	2	1	13	92970	37	1.28																		
C3	Sample 27	2	1	14	97970	36.96	1.27																		
C3	Sample 27	2	1	15	102970	36.96	1.26																		
C4	Sample 28	2	1	1	32930	36.91	1.25																		
C4	Sample 28	2	1	2	37970	36.96	1.25																		
C4	Sample 28	2	1	3	42980	36.96	1.25																		
C4	Sample 28	2	1	4	47980	37	1.25																		
C4	Sample 28	2	1	5	52970	37	1.25																		
C4	Sample 28	2	1	6	57960	37	1.24																		
C4	Sample 28	2	1	7	62970	36.96	1.24																		
C4	Sample 28	2	1	8	67980	36.96	1.24																		
C4	Sample 28	2	1	9	72970	37	1.25																		
C4	Sample 28	2	1	10	77970	37	1.24																		
C4	Sample 28	2	1	11	82970	37	1.24																		
C4	Sample 28	2	1	12	87960	36.96	1.24																		
C4	Sample 28	2	1	13	92970	37	1.25																		
C4	Sample 28	2	1	14	97970	36.96	1.24																		
C4	Sample 28	2	1	15	102970	36.96	1.24																		
C5	Sample 29	2	1	1	32930	36.91	1.27																		
C5	Sample 29	2	1	2	37970	36.96	1.27																		
C5	Sample 29	2	1	3	42980	36.96	1.26																		
C5	Sample 29	2	1	4	47980	37	1.26																		
C5	Sample 29	2	1	5	52970	37	1.26																		
C5	Sample 29	2	1	6	57960	37	1.26																		
C5	Sample 29	2	1	7	62970	36.96	1.26																		
C5	Sample 29	2	1	8	67980	36.96	1.26																		
C5	Sample 29	2	1	9	72970	37	1.26																		
C5	Sample 29	2	1	10	77970	37	1.26																		
C5	Sample 29	2	1	11	82970	37	1.25																		
C5	Sample 29	2	1	12	87960	36.96	1.26																		
C5	Sample 29	2	1	13	92970	37	1.26																		
C5	Sample 29	2	1	14	97970	36.96	1.26																		
C5	Sample 29	2	1	15	102970	36.96	1.26																		
C6	Sample 30	2	1	1	32930	36.91	1.3																		
C6	Sample 30	2	1	2	37970	36.96	1.3																		
C6	Sample 30	2	1	3	42980	36.96	1.29																		
C6	Sample 30	2	1	4	47980	37	1.29																		
C6	Sample 30	2	1	5	52970	37	1.29																		
C6	Sample 30	2	1	6	57960	37	1.28																		
C6	Sample 30	2	1	7	62970	36.96	1.29																		
C6	Sample 30	2	1	8	67980	36.96	1.28																		
C6	Sample 30	2	1	9	72970	37	1.3																		
C6	Sample 30	2	1	10	77970	37	1.29																		
C6	Sample 30	2	1	11	82970	37	1.29																		
C6	Sample 30	2	1	12	87960	36.96	1.3																		
C6	Sample 30	2	1	13	92970	37	1.3																		
C6	Sample 30	2	1	14	97970	36.96	1.29																		
