Raw Data 		Experiment - evIC50_3_plate4_11APRIL2026 (Run on LCS480 1.5.1.62)																				
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510															
B9	Sample 21	2	1	4	45430	36.96	3.44															
B9	Sample 21	2	1	5	50130	37	3															
B9	Sample 21	2	1	6	54730	36.96	2.83															
B9	Sample 21	2	1	7	59330	36.96	2.77															
B9	Sample 21	2	1	8	63940	37	2.78															
B9	Sample 21	2	1	9	68630	37	2.78															
B9	Sample 21	2	1	10	73230	37	2.8															
B9	Sample 21	2	1	11	77830	37	2.81															
B9	Sample 21	2	1	12	82430	37	2.8															
B9	Sample 21	2	1	13	87040	37	2.81															
B9	Sample 21	2	1	14	91640	37	2.8															
B9	Sample 21	2	1	15	96240	37	2.81															
B10	Sample 22	2	1	1	31610	36.91	3.2															
B10	Sample 22	2	1	2	36240	36.96	3.43															
B10	Sample 22	2	1	3	40830	37	3.61															
B10	Sample 22	2	1	4	45430	36.96	3.29															
B10	Sample 22	2	1	5	50130	37	2.91															
B10	Sample 22	2	1	6	54730	36.96	3.19															
B10	Sample 22	2	1	7	59330	36.96	3.85															
B10	Sample 22	2	1	8	63940	37	3.74															
B10	Sample 22	2	1	9	68630	37	3.35															
B10	Sample 22	2	1	10	73230	37	3.09															
B10	Sample 22	2	1	11	77830	37	2.94															
B10	Sample 22	2	1	12	82430	37	2.87															
B10	Sample 22	2	1	13	87040	37	2.86															
B10	Sample 22	2	1	14	91640	37	2.83															
B10	Sample 22	2	1	15	96240	37	2.87															
B11	Sample 23	2	1	1	31610	36.91	3.04															
B11	Sample 23	2	1	2	36240	36.96	2.87															
B11	Sample 23	2	1	3	40830	37	2.64															
B11	Sample 23	2	1	4	45430	36.96	2.82															
B11	Sample 23	2	1	5	50130	37	4.45															
B11	Sample 23	2	1	6	54730	36.96	5.99															
B11	Sample 23	2	1	7	59330	36.96	5.35															
B11	Sample 23	2	1	8	63940	37	4.2															
B11	Sample 23	2	1	9	68630	37	3.41															
B11	Sample 23	2	1	10	73230	37	3.02															
B11	Sample 23	2	1	11	77830	37	2.83															
B11	Sample 23	2	1	12	82430	37	2.71															
B11	Sample 23	2	1	13	87040	37	2.66															
B11	Sample 23	2	1	14	91640	37	2.63															
B11	Sample 23	2	1	15	96240	37	2.65															
B12	Sample 24	2	1	1	31610	36.91	2.96															
B12	Sample 24	2	1	2	36240	36.96	3.16															
B12	Sample 24	2	1	3	40830	37	3.36															
B12	Sample 24	2	1	4	45430	36.96	3.15															
B12	Sample 24	2	1	5	50130	37	2.7															
B12	Sample 24	2	1	6	54730	36.96	2.84															
B12	Sample 24	2	1	7	59330	36.96	3.71															
B12	Sample 24	2	1	8	63940	37	4.22															
B12	Sample 24	2	1	9	68630	37	3.91															
B12	Sample 24	2	1	10	73230	37	3.44															
B12	Sample 24	2	1	11	77830	37	3.05															
